vin,chassis_code,make,model,year,color,engine_type_id,transmission_type_id,drivetrain_type_id,steering_side,mileage_km,condition_id,current_listing_price_jpy,photos_url,description,status,auction_lot_number,supplier_id,view_count,add_to_cart_count,add_to_wishlist
VIN001NISSANR34,BNR34,Nissan,Skyline GT-R,1999,Blue,1,1,3,RHD,75000,1,7000000,http://example.com/r34.jpg,"Classic JDM sports car",available,T1234,1,150,5,10
VIN002TOYOTASUP,JZA80,Toyota,Supra,1998,Red,2,1,1,RHD,92000,2,6500000,http://example.com/supra.jpg,"Iconic 2JZ engine",reserved,O5678,2,220,8,15
VIN003SUBARUWRX,GDB,Subaru,Impreza WRX STI,2004,White,4,1,3,RHD,110000,2,3500000,http://example.com/wrx.jpg,"Rally legend",available,N9101,3,180,3,7
VIN004HONDACIVR,EK9,Honda,Civic Type R,1999,Yellow,5,1,2,RHD,88000,1,2800000,http://example.com/ek9.jpg,"Lightweight pocket rocket",sold,T1121,1,300,12,20
VIN005MAZDARX7F,FD3S,Mazda,RX-7,2001,Black,,1,1,RHD,65000,1,5500000,http://example.com/rx7.jpg,"Rotary power",available,O3141,2,250,7,12
VIN006HONDAS2000,AP1,Honda,S2000,2002,Silver,5,1,1,RHD,85000,2,2500000,http://example.com/s2000.jpg,"High-revving roadster",available,T2233,1,180,4,8
VIN007MITSUEVO6,CP9A,Mitsubishi,Lancer Evo VI,1999,Blue,3,1,3,RHD,95000,2,3200000,http://example.com/evo6.jpg,"WRC Champion",available,O6677,2,210,6,11
VIN008NISSANS15,S15,Nissan,Silvia Spec-R,2000,Pearl White,3,1,1,RHD,78000,1,2900000,http://example.com/s15.jpg,"Drift king",reserved,N8899,3,350,15,25
VIN009TOYOTAMR2,SW20,Toyota,MR2 GT-S,1998,Red,3,1,1,RHD,105000,3,1800000,http://example.com/mr2.jpg,"Mid-engine fun",available,T3344,1,120,2,5
VIN010MAZMIATANB,NB8C,Mazda,MX-5,2003,Green,,1,1,RHD,120000,2,950000,http://example.com/mx5nb.jpg,"Affordable fun",sold,O4455,2,90,5,3
